"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"Health Needs Assessment: Children and young peoples’ substance misuse and children and young people affected by the substance misuse of others","2015","HNA","This health needs assessment includes a refresh of the 2012 Health Needs Assessment data and information. It includes estimates of prevalence based on national and local data. It gives insight into the local specialist service provision for children and young people who use substances and for those children and young people who are affected by the substance misuse of others who are close to them.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/CYP_Substance_misuse_HNA_2015.pdf","CYP","Start Well","CYP","Substance Misuse",NA,NA
"Eating Disorders: A Health Needs Assessment and Service Review for Children and Young People in Derbyshire County and Derby City 2012","2012","HNA","Health Needs Assessment for NHS Derby CIty and NHS Derbyshire County for Eating Disorders, including incidence and prevalence, local services and recommendations to commissioners and providers.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/ED_HNA_Children_and_Young_People_August2012.pdf","CYP","Start Well","Mental Health",NA,NA,NA
"A summary of the My Life, My View survey 2022","2022","Report","A summary of the 2022 version of the 'My Life, My View' survey.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/My%20Life%20My%20View%202022n%20(005).pdf","CYP","Start Well","Physical Activity",NA,NA,NA
"My Life, My View- Year 8 Infographic 2016","2016","Report","The aim of My Life, My View, the Derbyshire emotional health and well-being survey is to provide an insight into the experiences, behaviours and attitudes of young people as they move towards adulthood.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/My_Life_My_View_Infographic_2016-17.pdf","CYP","Start Well",NA,NA,NA,NA
"Eating Disorders: A Health Needs Assessment for Derbyshire County and Derby City 2011","2011","HNA","Health Needs Assessment for NHS Derby CIty and NHS Derbyshire County for Eating Disorders, including incidence and prevalence, local services and recommendations to commissioners and providers.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/mental_health/ED_HNA_Nov11.pdf","CYP","Start Well",NA,NA,NA,NA
"Health Impact Assessment of Derbyshire Children’s Centres","2015","HIA","A synthesis of evidence from community profiling and community consultation, with key considerations for maximising health gains and mitigating negative health consequences in respect of the proposed reconfiguration of Children’s Centre provision by Derbyshire County Council.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2015/Childrens_Centre_HIA_finalreport_2015.pdf","CYP","Start Well",NA,NA,NA,NA
"Children and Young People with Special Educational Needs and Disabilities in Derbyshire","2016","HNA","This report brings together a range of data and information about the number of children and young people in Derbyshire with Special Educational Needs and Disabilities (SEND), their needs and how they are being supported to achieve their potential. A key recommendation of this report is that a more in-depth needs assessment should be undertaken.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2016/0-25_SEND_in_Derbyshire_Interim_Needs_Assessment_April_2016.pdf","CYP","Start Well","CYP","SEND","Neurodiversity",NA
"My Life, My View Report 2020","2020","Report","This report summarises the My Life, My View, the Derbyshire emotional health and well-being survey. It provides insights into the experiences, behaviours and attitudes of young people as they move towards adulthood.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2020/MyLifeMyView_LocalAuthority_Report_2018-19.pdf","CYP","Start Well",NA,NA,NA,NA
"My Life, My View Report 2021","2021","Report","This report summarises the My Life, My View, the Derbyshire emotional health and well-being survey. It provides insights into the experiences, behaviours and attitudes of young people as they move towards adulthood.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2021/My_Life_My_View_2021_Report.pdf","CYP","Start Well",NA,NA,NA,NA
"Life Expectancy and Mortality - Derbyshire Observatory",NA,"Link","Life Expectancy and Mortality - Derbyshire Observatory","https://observatory.derbyshire.gov.uk/life-expectancy-and/","Deaths","Age Well",NA,NA,NA,NA
"End of Life Care Needs Assessment","2016","HNA","This Health Needs Assessment has been written to inform these discussions within Derbyshire, and to identify the next steps that will build a more complete picture of local end of life care needs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/life_expectancy_and_mortality/End_of_Life_Care_Needs_Assessment_Mar2016.pdf","Deaths","Age Well","End of Life",NA,NA,NA
"Global Burden of Disease Compare",NA,"Link","Global Burden of Disease Compare - this tool can be used to visualise and compare mortality data globally and within the United Kingdom.","https://vizhub.healthdata.org/gbd-compare/","Deaths","Age Well",NA,NA,NA,NA
"Measuring excess mortality: a guide to the main reports (gov.uk)",NA,"Link","Measuring excess mortality: a guide to the main reports (gov.uk)","https://www.gov.uk/guidance/measuring-excess-mortality-a-guide-to-the-main-reports","Deaths","Age Well",NA,NA,NA,NA
"Avoidable mortality in Great Britain - Office for National Statistics",NA,"Link","Avoidable mortality in Great Britain - Office for National Statistics","https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/causesofdeath/bulletins/avoidablemortalityinenglandandwales/2020","Deaths","Age Well",NA,NA,NA,NA
"Alzheimer’s Research UK - Dementia Statistics Hub, Brain Health",NA,"Link","Alzheimer’s Research UK - Dementia Statistics Hub, Brain Health","https://dementiastatistics.org/statistics/brain-health/","Dementia","Age Well",NA,NA,NA,NA
"NHS Derby and Derbyshire Emotional Health and Wellbeing",NA,"Link","NHS Derby and Derbyshire Emotional Health and Wellbeing brain health information","https://derbyandderbyshireemotionalhealthandwellbeing.uk/adult/brain-health","Dementia","Age Well",NA,NA,NA,NA
"Dementia services » Joined Up Care Derbyshire",NA,"Link","Dementia services » Joined Up Care Derbyshire","https://joinedupcarederbyshire.co.uk/your-services/dementia-and-delirium/","Dementia","Age Well",NA,NA,NA,NA
"Dementia: Derbyshire's Health Equity Audit 2010","2010","HEA","This health equity audit is intended to support the commissioning process of new dementia services to ensure equity of service is addressed.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/dementia/Derbyshire_Dementia_Health_Equity_Audit_Sept2010.pdf","Dementia","Age Well","Dementia",NA,NA,NA
"Alzheimer’s Society - Risk Reduction",NA,"Link","Alzheimer’s Society - Risk Reduction","https://www.alzheimers.org.uk/categories/risk-reduction","Dementia","Age Well",NA,NA,NA,NA
"Alzheimer’s Society - 35 Dementia: Reducing your risk leaflet",NA,"Link","Alzheimer’s Society - 35 Dementia: Reducing your risk leaflet","https://www.alzheimers.org.uk/sites/default/files/2023-01/35-Dementia-Reducing-your-risk.pdf","Dementia","Age Well",NA,NA,NA,NA
"Alzheimer’s Research UK- Think Brain Health Check-in",NA,"Link","Alzheimer’s Research UK- Think Brain Health Check-in","https://www.alzheimersresearchuk.org/brain-health/think-brain-health/","Dementia","Age Well",NA,NA,NA,NA
"World Alzheimer Report 2023",NA,"Link","World Alzheimer Report 2023","https://www.alzint.org/u/World-Alzheimer-Report-2023.pdf","Dementia","Age Well",NA,NA,NA,NA
"Derbyshire Dementia Support Service",NA,"Link","Derbyshire Dementia Support Service","https://www.dementiaderbyshire.org.uk/","Dementia","Age Well",NA,NA,NA,NA
"Derbyshire Joint Dementia Strategy 2020-2025","2020","Strategy","Derbyshire Joint Dementia Strategy 2020-2025","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/adult-care-and-wellbeing/disability-support/dementia/derbyshire-joint-dementia-strategy.pdf","Dementia","Age Well","Dementia",NA,NA,NA
"Market Position Statement - Community and accommodation-based support for older people 2022-2023",NA,"Link","Market Position Statement - Community and accommodation-based support for older people 2022-2023","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/care-and-health-service-providers/commissioning-services/market-position-statement-community-and-accommodation-based-support-for-older-people-2022-2023.pdf","Dementia","Age Well",NA,NA,NA,NA
"Dementia - Derbyshire County Council",NA,"Link","Dementia - Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/disability-support/dementia/dementia.aspx","Dementia","Age Well",NA,NA,NA,NA
"Health matters: midlife approaches to reduce dementia risk",NA,"Link","Health matters: midlife approaches to reduce dementia risk","https://www.gov.uk/government/publications/health-matters-midlife-approaches-to-reduce-dementia-risk/health-matters-midlife-approaches-to-reduce-dementia-risk","Dementia","Age Well",NA,NA,NA,NA
"Can Dementia be Prevented? - NHS Dementia Guide",NA,"Link","Can Dementia be Prevented? - NHS Dementia Guide","https://www.nhs.uk/conditions/dementia/dementia-prevention/","Dementia","Age Well",NA,NA,NA,NA
"Risk reduction of cognitive decline and dementia: WHO guidelines","2019","Link","Risk reduction of cognitive decline and dementia: World Health Organisation guidelines 2019","https://www.who.int/publications/i/item/9789241550543","Dementia","Age Well",NA,NA,NA,NA
"Alzheimer’s Society Annual Lecture 2021 - What can we do to prevent dementia?",NA,"Link","Alzheimer’s Society Annual Lecture 2021 - What can we do to prevent dementia?","https://www.youtube.com/watch?v=2DroJOwZxzA","Dementia","Age Well",NA,NA,NA,NA
"Direct Education Business Partnership (DEBP)",NA,"Link","Charity with employability programs for 16-25 year olds with disabilities and learning difficulties including Supported Internships.","https://debp.org/","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Derbyshire Education Business Partnership",NA,"Link","The Council's supported internship team work with local businesses and charities (The Derbyshire Education Business Partnership) to provide supported internships for 18-24 year olds with an Education Health and Care Plan.","https://dva.org.uk/derbyshire-education-business-partnership-debp/","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Reed in Partnership",NA,"Link","Reed in Partnership are a Supported Employment Provider with offices across Derbyshire funded by the Department for Work and Pensions. They offer the Better Working Futures Work and Health Program.","https://reedinpartnership.co.uk/","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Disability Employer Engagement Derbyshire Team (DEED)",NA,"Link","The team works to help employers to employ people with disabilities by engaging with employers about how to use supported employment services, advertise vacancies and interview in more accessible ways, ideas for reasonable adjustments and information about the Department for Work and Pensions.","https://www.derbyshire.gov.uk/business/disability-employer-engagement-derbyshire/disability-employer-engagement-derbyshire-deed.aspx","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Youth Employment Service",NA,"Link","For 16-24 year olds. Funded by Public Health, DWP, and the National Careers Service.","https://www.derbyshire.gov.uk/working-for-us/early-careers/youth-employment-support/youth-employment-support.aspx","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Disability Employment Service",NA,"Link","The service helps unemployed and long-term unemployed individuals find work, as well as helping those in employment to retain their job.","https://www.derbyshire.gov.uk/working-for-us/equal-opportunities/disability-employment-service/disability-employment-service.aspx","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Derbyshire Careers Service",NA,"Link","Award winning advice and guidance funded by the National Careers Service. Face to face support.","https://www.derbyshire.gov.uk/working-for-us/jobs/careers-service/careers-service.aspx","Disability Unemployment","Stay Well",NA,NA,NA,NA
"Domestic abuse and sexual violence in Derby and Derbyshire: health needs assessment-2014","2014","HNA","Domestic abuse and sexual violence in Derby and Derbyshire health needs assessment.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2014/Domestic_abuse_and_sexual_violence_Derby_and_Derbyshire_2014.pdf","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Health Impact Assessment of domestic abuse services commissioned by Derbyshire County Council","2015","HIA","A synthesis of evidence from population statistics, expert knowledge and published evidence, with key considerations for maximising health gains and mitigating negative health consequences in respect of the proposed recommissioning of domestic abuse services by Derbyshire County Council.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2015/HIA_of_domestic_abuse_services_June2015.pdf","Domestic Abuse","Stay Well",NA,NA,NA,NA
